occupation,text_shap_abs_mean
scientist,179779599.5700634
nurse,0.0005150308204930885
manager,0.0007197669431147898
nurse,0.0011343500022456983
developer,0.000822384463517478
engineer,0.0008710517332647418
engineer,0.000920732767150099
manager,0.0006526307712358916
nurse,7342681015.592294
engineer,0.0006794662749217941
manager,0.0016255593344475002
nurse,23958224517.27811
scientist,4373177733.509425
engineer,0.0007562770344288589
engineer,0.0007347881682879272
engineer,21359228373.204903
nurse,0.0007494596443531099
manager,0.000978836995471346
scientist,0.0007567142161386316
developer,0.0006957439249186936
developer,0.000405904932527587
manager,0.0018253417554652167
nurse,0.0007816878254043317
scientist,0.0008538474025136646
scientist,0.0005062936955217629
nurse,0.001444148839121549
developer,0.00079155748454154
manager,0.000441379852212943
nurse,0.0006573070958605565
manager,0.0008622747014881201
developer,0.0005543606157590302
nurse,0.0006550796575239415
engineer,0.0007465468344987469
nurse,0.0008664576621683503
scientist,0.001014513057496126
developer,0.0005306932295970751
engineer,18168812694.809063
developer,0.0006980209745657585
developer,0.0006627141855367861
developer,0.0009154636512157958
scientist,0.0017850287417998597
engineer,0.0006015306714651079
nurse,0.0006386822070917816
nurse,0.0006940835993001104
nurse,0.0004944930695752997
manager,0.00029040071237733536
scientist,7342681015.592228
manager,0.0005342488007882111
manager,0.0010913377129388878
engineer,0.0008632791654040433
nurse,0.0007649350200178358
engineer,0.0005677573489428304
scientist,0.0
developer,0.0005728269188048981
manager,0.0004706347716971331
engineer,741636264582.5404
nurse,0.00030656155148724986
manager,0.0006863869445806628
nurse,0.0007021559752733495
engineer,0.00024564536881130984
nurse,0.00039133396169212925
scientist,0.001148784826643408
scientist,0.0004300509146259483
developer,0.00045909484303952676
nurse,0.0005191703911401344
manager,0.0007099513109424149
developer,0.0009438422943994144
developer,0.0006698747081946896
manager,0.0007819342189995986
developer,0.000443447959195284
nurse,0.0008576839806597658
scientist,22137285738.474308
engineer,0.0006141067516261685
engineer,10117894881.695942
engineer,0.0006750501897939715
developer,0.000686471657400904
engineer,0.0010287192863239058
developer,0.0003111132876220513
developer,0.00043326253166250847
scientist,0.0005580517717293687
developer,0.000678991116828467
nurse,12119578973.496847
manager,0.0005608744601311427
nurse,0.0005468153362767089
manager,0.0007928875518317691
developer,0.00038450890361597137
manager,0.0005830767705883584
scientist,0.0007155404976848112
developer,0.000641660634497225
manager,0.0003642679621857724
scientist,0.0005770743792697109
developer,0.0010650149504777423
manager,0.0010594261628062366
engineer,0.0010061202986435345
manager,0.00042225572005616147
nurse,0.00022646516896484976
developer,0.0006288269123270029
manager,0.00045455789205646284
nurse,0.0007744717575585844
nurse,0.0007379787494483063
scientist,0.0008365873487102153
manager,0.000752382165640423
engineer,12256045457.26997
engineer,0.000897723722250885
nurse,0.000735545782019084
developer,23958224517.277832
engineer,0.00031121043819653756
nurse,0.00027473623406040016
manager,0.0008553009677567565
scientist,0.0009807461136542206
developer,0.00033564466093625864
scientist,0.0006041013568863575
developer,0.0007877107389826385
scientist,0.0007570806213474608
manager,0.000496619500314653
engineer,0.0006248562746458945
scientist,0.00024285006762835996
scientist,0.000521540000365107
engineer,0.0006131411306547197
scientist,0.0008414539990536394
nurse,0.00042668699394492063
nurse,0.00086302183563574
engineer,0.0005798793896811399
developer,0.00040961648089110706
engineer,0.0010748397086909787
manager,0.0004459394560665031
nurse,0.000623552820961543
scientist,12119578973.496876
scientist,0.00044329275972805615
manager,0.0004710114057026317
engineer,0.0005227639913367721
nurse,0.000628318923917865
nurse,0.0007359902001041125
developer,12256045457.269775
engineer,0.00042617083229710555
engineer,1112454396873.8105
manager,0.0006560372401413491
engineer,0.0006461464968336505
scientist,0.00034474177363852545
scientist,0.0005197721973156949
nurse,0.00035476742030295864
developer,0.0003724051966633397
engineer,0.0002909329013509716
developer,0.0002731009123513529
developer,0.0002120218795584918
engineer,0.0002767289007124741
nurse,0.0006736482663935126
developer,0.0004079589868390995
nurse,0.0
developer,0.0009003985080235168
manager,22137285738.47411
developer,0.0005140127738502473
manager,0.00041397910548701813
scientist,0.0003093424249195874
manager,0.0007116047582013624
manager,0.0005057510191507241
developer,0.0006089165115818541
scientist,0.00045027911941073086
scientist,0.0007687031526877802
developer,31470452195.0302
engineer,0.0005418323259684857
manager,0.0007832221297066389
nurse,0.000510240168004432
nurse,0.0005778251471153284
developer,0.0003433317072949577
nurse,0.0006187484253033355
nurse,0.0005725485343738105
scientist,0.000853121921455012
manager,0.000279973085611018
developer,0.0007598812447587866
scientist,0.0006744884278781397
developer,0.0008924239876676368
manager,0.00029098033514704904
engineer,0.0008357724865619481
engineer,0.00036392299462141347
nurse,0.0006040684268242322
manager,0.00046591895376230856
nurse,0.0002632480574665749
manager,0.000349517390067287
nurse,0.0002164003749623094
nurse,0.0005446346398303227
engineer,0.0007669678693051897
engineer,0.0004508289500517097
manager,0.0004102570829183925
nurse,0.0006457230737157547
nurse,0.0006158447991743034
scientist,0.0007360297036355214
nurse,0.0005109030902402941
manager,0.00021898665750167716
developer,0.0005789174640993879
engineer,0.00031196439950343123
nurse,0.0005189106182104529
scientist,0.0003587364810978984
engineer,0.0005077492083342466
manager,0.00029464356676271893
engineer,0.0006925468711590047
nurse,0.00046560248537108866
engineer,0.00026182106875231946
engineer,0.00041604506723417627
nurse,0.00041439118247612943
developer,0.0003386090831148991
developer,0.0005721312872063434
manager,0.00036064635012928066
engineer,0.0004000164903477335
engineer,0.0004215663168188749
nurse,0.0008554283733874402
manager,0.00034667323436477605
engineer,0.00017470813414786408
nurse,0.0005160132765663992
nurse,0.00033874394496010395
engineer,0.0005118521213042422
manager,0.00036115639556685576
developer,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
nurse,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
nurse,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
nurse,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
nurse,0.00427378159736958
manager,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
engineer,0.00427378159736958
nurse,0.00427378159736958
scientist,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
manager,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
engineer,0.00427378159736958
engineer,0.00427378159736958
scientist,0.00427378159736958
developer,0.00427378159736958
developer,0.00427378159736958
scientist,0.00427378159736958
scientist,0.00427378159736958
engineer,0.00427378159736958
developer,0.00427378159736958
nurse,0.00427378159736958
developer,0.00427378159736958
